-/d 3671-144-7:	Documents and Settings	2004-08-19 23:04:05 (UTC)	2004-08-27 15:08:05 (UTC)	2004-08-19 23:04:05 (UTC)	2004-08-19 16:59:01 (UTC)	56	0	0
r/r 128-128-3:	DETLOG.TXT	2004-08-18 16:50:00 (UTC)	2004-08-18 00:00:00 (UTC)	2004-08-19 22:40:19 (UTC)	2004-08-18 16:47:01 (UTC)	70936	0	48
-/r 0-128-7:	$MFT	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	12600320	0	0
-/r 1-128-1:	$MFTMirr	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	4096	0	0
-/r 2-128-1:	$LogFile	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	26460160	0	0
-/r 3-128-3:	$Volume	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	0	0	48
-/r 4-128-4:	$AttrDef	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2560	0	48
-/r 6-128-1:	$Bitmap	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	1188808	0	0
-/r 7-128-1:	$Boot	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	8192	0	48
-/r 8-128-2:	$BadClus	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	0	0	0
-/r 8-128-1:	$BadClus:$Bad	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	4869332992	0	0
-/r 9-128-8:	$Secure:$SDS	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	277616	0	0
-/r 9-144-11:	$Secure:$SDH	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	56	0	0
-/r 9-144-14:	$Secure:$SII	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	56	0	0
-/r 10-128-1:	$UpCase	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	131072	0	0
-/d 11-144-4:	$Extend	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	2004-08-19 16:57:43 (UTC)	344	0	0
-/d 17-144-3:	WIN98	2004-08-18 16:28:38 (UTC)	2004-08-20 15:26:37 (UTC)	2004-08-18 16:28:38 (UTC)	2004-08-18 16:28:38 (UTC)	56	0	48
-/r 119-128-3:	BOOTLOG.TXT	2004-08-19 15:39:26 (UTC)	2004-08-19 00:00:00 (UTC)	2004-08-19 22:40:19 (UTC)	2004-08-19 15:39:26 (UTC)	41727	0	48
-/r 120-128-3:	COMMAND.COM	1999-04-23 22:22:00 (UTC)	2004-08-18 00:00:00 (UTC)	2004-08-19 22:40:19 (UTC)	1999-04-23 22:22:00 (UTC)	93890	0	48
-/r 121-128-3:	SUHDLOG.DAT	2004-08-18 16:40:56 (UTC)	2004-08-18 00:00:00 (UTC)	2004-08-19 22:40:19 (UTC)	2004-08-18 16:40:56 (UTC)	5166	0	48
-/r 122-128-3:	FRUNLOG.TXT	2004-08-18 16:46:48 (UTC)	2004-08-18 00:00:00 (UTC)	2004-08-19 17:02:21 (UTC)	2004-08-18 16:42:21 (UTC)	1012	0	48
-/r 123-128-3:	MSDOS.---	2004-08-18 16:31:34 (UTC)	2004-08-18 00:00:00 (UTC)	2004-08-19 22:40:19 (UTC)	2004-08-18 16:31:34 (UTC)	22	0	48
-/r 124-128-3:	SETUPLOG.TXT	2004-08-18 16:53:16 (UTC)	2004-08-18 00:00:00 (UTC)	2004-08-19 22:40:19 (UTC)	2004-08-18 16:53:16 (UTC)	99731	0	48
-/r 125-128-3:	NETLOG.TXT	2004-08-18 16:53:16 (UTC)	2004-08-18 00:00:00 (UTC)	2004-08-19 22:40:19 (UTC)	2004-08-18 16:53:16 (UTC)	3345	0	48
-/r 126-128-3:	MSDOS.SYS	2004-08-18 16:50:14 (UTC)	2004-08-18 00:00:00 (UTC)	2004-08-19 17:02:21 (UTC)	2004-08-18 16:50:14 (UTC)	1676	0	48
-/r 127-128-3:	AUTOEXEC.BAT	2004-08-18 16:53:36 (UTC)	2004-08-19 00:00:00 (UTC)	2004-08-19 17:02:10 (UTC)	2004-08-18 16:53:34 (UTC)	0	0	48
-/r 129-128-3:	CONFIG.SYS	2004-08-18 16:54:56 (UTC)	2004-08-19 22:38:21 (UTC)	2004-08-19 17:02:10 (UTC)	2004-08-18 16:54:54 (UTC)	30	0	48
-/r 130-128-3:	BOOTLOG.PRV	2004-08-18 16:56:12 (UTC)	2004-08-18 00:00:00 (UTC)	2004-08-19 22:40:19 (UTC)	2004-08-18 16:56:12 (UTC)	46251	0	48
-/r 131-128-3:	VIDEOROM.BIN	2004-08-18 16:54:36 (UTC)	2004-08-18 16:54:36 (UTC)	2004-08-19 17:02:21 (UTC)	2004-08-18 16:54:36 (UTC)	49152	0	48
-/r 132-128-3:	SYSTEM.1ST	2004-08-18 16:40:54 (UTC)	2004-08-18 00:00:00 (UTC)	2004-08-19 22:40:19 (UTC)	2004-08-18 16:40:54 (UTC)	446496	0	48
-/r 133-128-3:	IO.SYS	1999-04-23 22:22:00 (UTC)	2004-08-18 00:00:00 (UTC)	2004-08-19 17:02:21 (UTC)	1999-04-23 22:22:00 (UTC)	222390	0	48
-/d 134-144-4:	Program Files	2004-08-27 15:28:49 (UTC)	2004-08-27 15:29:18 (UTC)	2004-08-27 15:28:49 (UTC)	2004-08-18 16:31:52 (UTC)	152	0	48
-/d 330-144-7:	My Documents	2004-08-20 15:21:05 (UTC)	2004-08-20 15:21:09 (UTC)	2004-08-20 15:21:05 (UTC)	2004-08-18 16:55:24 (UTC)	56	0	48
-/d 411-144-1:	System Volume Information	2004-08-19 22:53:09 (UTC)	2004-08-27 15:08:06 (UTC)	2004-08-19 22:53:09 (UTC)	2004-08-19 22:53:08 (UTC)	160	0	0
-/r 456-128-3:	BOOTSECT.DOS	2004-08-19 16:47:34 (UTC)	2004-08-19 00:00:00 (UTC)	2004-08-19 22:40:19 (UTC)	2004-08-19 16:47:33 (UTC)	512	0	48
-/r 3662-128-3:	ntldr	2001-08-23 18:00:00 (UTC)	2004-08-19 00:00:00 (UTC)	2004-08-19 17:02:11 (UTC)	2001-08-23 18:00:00 (UTC)	222368	0	48
-/r 3663-128-3:	ntdetect.com	2001-08-23 18:00:00 (UTC)	2004-08-19 00:00:00 (UTC)	2004-08-19 17:02:11 (UTC)	2001-08-23 18:00:00 (UTC)	45124	0	48
-/r 3664-128-4:	boot.ini	2004-08-19 22:20:04 (UTC)	2004-08-26 15:51:47 (UTC)	2004-08-19 22:40:19 (UTC)	2004-08-19 16:47:33 (UTC)	194	0	48
-/d 10519-144-1:	Temp	2004-08-20 15:19:12 (UTC)	2004-08-20 15:26:37 (UTC)	2004-08-26 15:05:22 (UTC)	2004-08-20 15:19:12 (UTC)	48	0	0
-/d 11736-144-1:	RECYCLER	2004-08-25 16:18:25 (UTC)	2004-08-27 15:12:30 (UTC)	2004-08-25 16:18:25 (UTC)	2004-08-25 16:18:25 (UTC)	328	0	0
-/d 458-144-6:	WINDOWS	2004-08-25 15:56:09 (UTC)	2004-08-27 15:08:06 (UTC)	2004-08-25 15:56:09 (UTC)	2004-08-19 16:50:37 (UTC)	56	0	48
V/V 12305:	$OrphanFiles	0000-00-00 00:00:00 (UTC)	0000-00-00 00:00:00 (UTC)	0000-00-00 00:00:00 (UTC)	0000-00-00 00:00:00 (UTC)	0	0	0
-/r 228-128-1:	pagefile.sys	2004-08-27 15:08:14 (UTC)	2004-08-27 15:08:14 (UTC)	2004-08-27 15:08:14 (UTC)	2004-08-19 16:50:37 (UTC)	201326592	0	0
-/r 343-128-1:	hiberfil.sys	2004-08-27 15:08:16 (UTC)	2004-08-27 15:08:16 (UTC)	2004-08-27 15:08:16 (UTC)	2004-08-19 23:04:01 (UTC)	133730304	0	0
